fips_code,county_name,state_fips,state_name,avg_aqi,counties,counties_monitors,reliability
01001,Autauga County,01,Alabama,20.641199655556136,67,16,0.23880597014925373
01003,Baldwin County,01,Alabama,15.473191823142574,67,16,0.23880597014925373
01005,Barbour County,01,Alabama,17.104923287621283,67,16,0.23880597014925373
01007,Bibb County,01,Alabama,21.279085643534067,67,16,0.23880597014925373
01009,Blount County,01,Alabama,22.79510904652485,67,16,0.23880597014925373
01011,Bullock County,01,Alabama,18.561865125683955,67,16,0.23880597014925373
01013,Butler County,01,Alabama,17.2097457558423,67,16,0.23880597014925373
01015,Calhoun County,01,Alabama,21.072455818019073,67,16,0.23880597014925373
01017,Chambers County,01,Alabama,17.767178858081156,67,16,0.23880597014925373
01019,Cherokee County,01,Alabama,15.037995811574422,67,16,0.23880597014925373
01021,Chilton County,01,Alabama,21.070859674809025,67,16,0.23880597014925373
01023,Choctaw County,01,Alabama,18.14872088779635,67,16,0.23880597014925373
01025,Clarke County,01,Alabama,15.712056766650573,67,16,0.23880597014925373
01027,Clay County,01,Alabama,17.854599510975884,67,16,0.23880597014925373
01029,Cleburne County,01,Alabama,16.586138684242634,67,16,0.23880597014925373
01031,Coffee County,01,Alabama,17.03238980063407,67,16,0.23880597014925373
01033,Colbert County,01,Alabama,18.240567387893734,67,16,0.23880597014925373
01035,Conecuh County,01,Alabama,16.352837650897705,67,16,0.23880597014925373
01037,Coosa County,01,Alabama,20.29501975154978,67,16,0.23880597014925373
01039,Covington County,01,Alabama,17.151674422261415,67,16,0.23880597014925373
01041,Crenshaw County,01,Alabama,17.98694900447098,67,16,0.23880597014925373
01043,Cullman County,01,Alabama,20.89090114430701,67,16,0.23880597014925373
01045,Dale County,01,Alabama,15.741162155967544,67,16,0.23880597014925373
01047,Dallas County,01,Alabama,19.960523075018234,67,16,0.23880597014925373
01049,DeKalb County,01,Alabama,18.307040627805414,67,16,0.23880597014925373
01051,Elmore County,01,Alabama,20.474468019113818,67,16,0.23880597014925373
01053,Escambia County,01,Alabama,17.039666279269863,67,16,0.23880597014925373
01055,Etowah County,01,Alabama,20.75162887586781,67,16,0.23880597014925373
01057,Fayette County,01,Alabama,20.250084218225275,67,16,0.23880597014925373
01059,Franklin County,01,Alabama,17.593727332158725,67,16,0.23880597014925373
01061,Geneva County,01,Alabama,16.08265068708298,67,16,0.23880597014925373
01063,Greene County,01,Alabama,17.954686278330513,67,16,0.23880597014925373
01065,Hale County,01,Alabama,18.81075321444157,67,16,0.23880597014925373
01067,Henry County,01,Alabama,15.741162155967544,67,16,0.23880597014925373
01069,Houston County,01,Alabama,15.308943117653417,67,16,0.23880597014925373
01071,Jackson County,01,Alabama,18.506497564243887,67,16,0.23880597014925373
01073,Jefferson County,01,Alabama,23.255748674457664,67,16,0.23880597014925373
01075,Lamar County,01,Alabama,20.13340888357223,67,16,0.23880597014925373
01077,Lauderdale County,01,Alabama,20.613997822750072,67,16,0.23880597014925373
01079,Lawrence County,01,Alabama,18.524033962605323,67,16,0.23880597014925373
01081,Lee County,01,Alabama,18.96211714464467,67,16,0.23880597014925373
01083,Limestone County,01,Alabama,19.164208599686102,67,16,0.23880597014925373
01085,Lowndes County,01,Alabama,19.09265110246737,67,16,0.23880597014925373
01087,Macon County,01,Alabama,19.03780427794839,67,16,0.23880597014925373
01089,Madison County,01,Alabama,19.4525325569454,67,16,0.23880597014925373
01091,Marengo County,01,Alabama,17.516199271716683,67,16,0.23880597014925373
01093,Marion County,01,Alabama,21.602444620770413,67,16,0.23880597014925373
01095,Marshall County,01,Alabama,20.129797282741347,67,16,0.23880597014925373
01097,Mobile County,01,Alabama,14.366938716455286,67,16,0.23880597014925373
01099,Monroe County,01,Alabama,15.819030026949438,67,16,0.23880597014925373
01101,Montgomery County,01,Alabama,19.772420648609717,67,16,0.23880597014925373
01103,Morgan County,01,Alabama,19.45434059305192,67,16,0.23880597014925373
01105,Perry County,01,Alabama,19.7366182352061,67,16,0.23880597014925373
01107,Pickens County,01,Alabama,17.954686278330513,67,16,0.23880597014925373
01109,Pike County,01,Alabama,18.0512380340275,67,16,0.23880597014925373
01111,Randolph County,01,Alabama,15.670240810205698,67,16,0.23880597014925373
01113,Russell County,01,Alabama,19.23329634619769,67,16,0.23880597014925373
01115,St. Clair County,01,Alabama,21.95773086878531,67,16,0.23880597014925373
01117,Shelby County,01,Alabama,21.770755041702962,67,16,0.23880597014925373
01119,Sumter County,01,Alabama,19.742506992000166,67,16,0.23880597014925373
01121,Talladega County,01,Alabama,21.255504026612165,67,16,0.23880597014925373
01123,Tallapoosa County,01,Alabama,17.196189627808756,67,16,0.23880597014925373
01125,Tuscaloosa County,01,Alabama,18.81075321444157,67,16,0.23880597014925373
01127,Walker County,01,Alabama,23.366441157002733,67,16,0.23880597014925373
01129,Washington County,01,Alabama,15.33045562414004,67,16,0.23880597014925373
01131,Wilcox County,01,Alabama,15.976012330704577,67,16,0.23880597014925373
01133,Winston County,01,Alabama,21.994802524467424,67,16,0.23880597014925373
02013,Aleutians East Borough,02,Alaska,25.63240106705868,29,5,0.1724137931034483
02016,Aleutians West Census Area,02,Alaska,25.63240106705868,29,5,0.1724137931034483
02020,Anchorage Municipality,02,Alaska,18.78799693629876,29,5,0.1724137931034483
