,Source County,source_fips,adj_fips,source_state,rec_county_name,rec_avg_aqi
0,"Autauga County, AL",01001,01085,01,Lowndes County,19.092651102467368
1,"Baldwin County, AL",01003,01097,01,Mobile County,14.366938716455286
2,"Barbour County, AL",01005,01045,01,Dale County,15.741162155967544
3,"Bibb County, AL",01007,01065,01,Hale County,18.810753214441572
4,"Blount County, AL",01009,01095,01,Marshall County,20.129797282741347
5,"Bullock County, AL",01011,01005,01,Barbour County,17.10492328762128
6,"Butler County, AL",01013,01099,01,Monroe County,15.819030026949438
7,"Calhoun County, AL",01015,01019,01,Cherokee County,15.037995811574422
8,"Chambers County, AL",01017,01111,01,Randolph County,15.670240810205698
9,"Cherokee County, AL",01019,13115,01,Floyd County,13.441803409191294
10,"Chilton County, AL",01021,01105,01,Perry County,19.7366182352061
11,"Choctaw County, AL",01023,01129,01,Washington County,15.33045562414004
12,"Clarke County, AL",01025,01129,01,Washington County,15.33045562414004
13,"Clay County, AL",01027,01111,01,Randolph County,15.670240810205698
14,"Cleburne County, AL",01029,13143,01,Haralson County,12.820493018369708
15,"Coffee County, AL",01031,01045,01,Dale County,15.741162155967544
16,"Colbert County, AL",01033,28141,01,Tishomingo County,17.30424669761448
17,"Conecuh County, AL",01035,01099,01,Monroe County,15.819030026949438
18,"Coosa County, AL",01037,01123,01,Tallapoosa County,17.196189627808756
19,"Covington County, AL",01039,01061,01,Geneva County,16.08265068708298
20,"Crenshaw County, AL",01041,01031,01,Coffee County,17.03238980063407
21,"Cullman County, AL",01043,01079,01,Lawrence County,18.524033962605323
22,"Dale County, AL",01045,01069,01,Houston County,15.308943117653417
23,"Dallas County, AL",01047,01131,01,Wilcox County,15.976012330704577
24,"DeKalb County, AL",01049,13055,01,Chattooga County,14.937391409820567
25,"Elmore County, AL",01051,01123,01,Tallapoosa County,17.196189627808756
26,"Escambia County, AL",01053,01003,01,Baldwin County,15.473191823142574
27,"Etowah County, AL",01055,01019,01,Cherokee County,15.037995811574422
28,"Fayette County, AL",01057,01107,01,Pickens County,17.954686278330513
29,"Franklin County, AL",01059,28141,01,Tishomingo County,17.30424669761448
30,"Geneva County, AL",01061,01069,01,Houston County,15.308943117653417
31,"Greene County, AL",01063,01091,01,Marengo County,17.51619927171668
32,"Hale County, AL",01065,01091,01,Marengo County,17.51619927171668
33,"Henry County, AL",01067,01069,01,Houston County,15.308943117653417
34,"Houston County, AL",01069,13253,01,Seminole County,15.308943117653417
35,"Jackson County, AL",01071,47051,01,Franklin County,17.910666630300568
